ASV_ID	Phylum	Class	Order	Family	Genus	Species	pct_identity	status	records	selected_level	BIN	flags	Original_OTU_Count
f3566a5fb340c3e9329f74c0e9c62a30	Arthropoda	Insecta	Lepidoptera				85.294	public	1	Order		1--2--4	1
61fdcf9ccfd36524ae3573f2c3fa643f	Arthropoda	Insecta	Lepidoptera				85.577	public	1	Order		1--4	1
66e64ea7d6af4b47e044d1caa4f140ef	Arthropoda	Insecta	Lepidoptera				85.0	public	1	Order		1--4	1
7c7044c523b2933e8e2ee2512998f037	Arthropoda	Insecta	Lepidoptera				87.812	public	1	Order		1--4	1
08e3519e343542557c90095cc70033d6	Arthropoda	Insecta	Diptera	Cecidomyiidae	Dasineura		97.619	public	1	Genus		1--4	1
53effeb829fc4c839bba87776e532eb5	Arthropoda	Insecta	Hymenoptera				85.987	public	1	Order		4	1
e0d26057cd17a9ca19cfda5397dd0194	Arthropoda	Insecta	Lepidoptera				87.821	public	1	Order		1--4	1
72de0aa9fa39748f6355309864e35368	Arthropoda	Insecta	Coleoptera				88.125	public	2	Order		2	1
4cde5118c05c6790f213c6492a0fddcd	Arthropoda	Chilopoda	Lithobiomorpha	Lithobiidae	Lithobius	Lithobius crassipes	98.252	public	1	Species	BOLD:AEH4065	4	1
40c40f112a74eb5aea9ad4d1feb6f425	Arthropoda	Insecta	Hymenoptera				86.52	public	1	Order		2--4	1
faa3409bb51827bd777d9e2a181dfa82	Arthropoda	Chilopoda	Geophilomorpha				86.769	public	9	Order			1
c88c60e8c43eeef3871749420de609c4	Arthropoda	Collembola	Symphypleona	Katiannidae	Sminthurinus	Sminthurinus aureus	99.057	public	10	Species	BOLD:AEL6752;BOLD:AEN5991;BOLD:ACF6317;BOLD:AAB5299;BOLD:ACE3690;BOLD:ABY6147;BOLD:ADH7841	2--5	1
a23fcffc22b303cb71b3579927f4da58	Arthropoda	Insecta	Hymenoptera				85.58	public	1	Order		4	1
5e3982881156b4841484f0c50ca71674	Arthropoda	Insecta	Lepidoptera				85.526	public	1	Order		1--4	1
